Timestamp,air_temperature,CO2,pm2_5,humidity,Air_Quality_Label
2024-09-25 19:25:00,26.3,455,111.1,64.26,TCI Comfort & IAQI Good
2024-09-25 19:30:00,26.29,452,111.0,64.29,TCI Comfort & IAQI Good
2024-09-25 19:35:00,26.3,442,114.3,64.32,TCI Comfort & IAQI Good
2024-09-25 19:40:00,26.29,442,112.9,64.34,TCI Comfort & IAQI Good
2024-09-25 19:45:00,26.29,437,114.4,64.44,TCI Comfort & IAQI Good
2024-09-25 19:50:00,26.28,436,113.1,64.41,TCI Comfort & IAQI Good
2024-09-25 19:55:00,26.28,433,116.0,64.48,TCI Comfort & IAQI Good
2024-09-25 20:00:00,26.28,454,114.8,64.52,TCI Comfort & IAQI Good
2024-09-25 20:05:00,26.28,448,116.7,64.48,TCI Comfort & IAQI Good
2024-09-25 20:10:00,26.27,426,117.8,64.5,TCI Comfort & IAQI Good
2024-09-25 20:15:00,26.27,442,116.4,64.52,TCI Comfort & IAQI Good
2024-09-25 20:20:00,26.27,441,117.4,64.53,TCI Comfort & IAQI Good
2024-09-25 20:25:00,26.26,450,118.7,64.55,TCI Comfort & IAQI Good
2024-09-25 20:30:00,26.26,444,117.0,64.6,TCI Comfort & IAQI Good
2024-09-25 20:35:00,26.26,440,119.5,64.6,TCI Comfort & IAQI Good
2024-09-25 20:40:00,26.26,429,118.6,64.6,TCI Comfort & IAQI Good
2024-09-25 20:45:00,26.25,436,119.2,64.61,TCI Comfort & IAQI Good
2024-09-25 20:50:00,26.25,447,119.0,64.61,TCI Comfort & IAQI Good
2024-09-25 20:55:00,26.25,445,119.4,64.6,TCI Comfort & IAQI Good
2024-09-25 21:00:00,26.25,426,117.7,64.59,TCI Comfort & IAQI Good
2024-09-25 21:05:00,26.25,442,119.0,64.57,TCI Comfort & IAQI Good
2024-09-25 21:10:00,26.25,444,122.8,64.54,TCI Comfort & IAQI Good
2024-09-25 21:15:00,26.26,458,123.4,64.51,TCI Comfort & IAQI Good
2024-09-25 21:20:00,26.26,438,123.2,64.55,TCI Comfort & IAQI Good
2024-09-25 21:25:00,26.25,445,124.5,64.58,TCI Comfort & IAQI Good
2024-09-25 21:30:00,26.24,446,126.7,64.59,TCI Comfort & IAQI Good
2024-09-25 21:35:00,26.24,436,128.0,64.64,TCI Comfort & IAQI Good
2024-09-25 21:40:00,26.24,436,127.5,64.62,TCI Comfort & IAQI Good
2024-09-25 21:45:00,26.23,445,127.5,64.64,TCI Comfort & IAQI Good
2024-09-25 21:50:00,26.22,444,126.6,64.72,TCI Comfort & IAQI Good
2024-09-25 21:55:00,26.22,442,127.5,64.73,TCI Comfort & IAQI Good
2024-09-25 22:00:00,26.21,450,129.0,64.73,TCI Comfort & IAQI Good
2024-09-25 22:05:00,26.21,445,128.8,64.69,TCI Comfort & IAQI Good
2024-09-25 22:10:00,26.22,449,127.7,64.68,TCI Comfort & IAQI Good
2024-09-25 22:15:00,26.23,436,129.5,64.69,TCI Comfort & IAQI Good
2024-09-25 22:20:00,26.23,453,129.2,64.73,TCI Comfort & IAQI Good
2024-09-25 22:25:00,26.22,431,130.1,64.8,TCI Comfort & IAQI Good
2024-09-25 22:30:00,26.22,442,132.4,64.8,TCI Comfort & IAQI Good
2024-09-25 22:35:00,26.22,433,131.7,64.83,TCI Comfort & IAQI Good
2024-09-25 22:40:00,26.21,441,132.0,64.85,TCI Comfort & IAQI Good
2024-09-25 22:45:00,26.21,442,133.2,64.88,TCI Comfort & IAQI Good
2024-09-25 22:50:00,26.2,444,133.9,64.91,TCI Comfort & IAQI Good
2024-09-25 22:55:00,26.2,453,134.4,64.93,TCI Comfort & IAQI Good
2024-09-25 23:00:00,26.2,443,134.0,64.95,TCI Comfort & IAQI Good
2024-09-25 23:05:00,26.2,448,136.2,65.0,TCI Comfort & IAQI Good
2024-09-25 23:10:00,26.19,441,135.6,65.04,TCI Comfort & IAQI Good
2024-09-25 23:15:00,26.19,434,138.1,65.07,TCI Comfort & IAQI Good
2024-09-25 23:20:00,26.19,441,137.8,65.11,TCI Comfort & IAQI Good
2024-09-25 23:25:00,26.19,453,138.8,65.15,TCI Comfort & IAQI Good
2024-09-25 23:30:00,26.18,453,136.4,65.15,TCI Comfort & IAQI Good
2024-09-25 23:35:00,26.19,460,139.6,65.18,TCI Comfort & IAQI Good
2024-09-25 23:40:00,26.19,442,141.8,65.26,TCI Comfort & IAQI Good
2024-09-25 23:45:00,26.19,454,139.9,65.32,TCI Comfort & IAQI Good
2024-09-25 23:50:00,26.18,448,142.5,65.45,TCI Comfort & IAQI Good
2024-09-25 23:55:00,26.17,466,144.7,65.44,TCI Comfort & IAQI Good
2024-09-26 00:00:00,26.17,448,143.3,65.44,TCI Comfort & IAQI Good
2024-09-26 00:05:00,26.17,449,143.8,65.5,TCI Comfort & IAQI Good
2024-09-26 00:10:00,26.16,470,145.3,65.57,TCI Comfort & IAQI Good
2024-09-26 00:15:00,26.16,445,144.7,65.58,TCI Comfort & IAQI Good
2024-09-26 00:20:00,26.15,457,144.8,65.64,TCI Comfort & IAQI Good
2024-09-26 00:25:00,26.15,461,144.5,65.67,TCI Comfort & IAQI Good
2024-09-26 00:30:00,26.15,451,145.5,65.77,TCI Comfort & IAQI Good
2024-09-26 00:35:00,26.15,459,149.8,65.85,TCI Comfort & IAQI Good
2024-09-26 00:40:00,26.15,452,148.7,65.93,TCI Comfort & IAQI Good
2024-09-26 00:45:00,26.15,444,150.8,65.96,TCI Comfort & IAQI Good
2024-09-26 00:50:00,26.14,457,151.0,66.02,TCI Comfort & IAQI Good
2024-09-26 00:55:00,26.15,468,152.0,66.17,TCI Comfort & IAQI Good
2024-09-26 01:00:00,26.15,451,153.2,66.21,TCI Comfort & IAQI Good
2024-09-26 01:05:00,26.15,453,155.1,66.3,TCI Comfort & IAQI Good
2024-09-26 01:10:00,26.15,454,156.4,66.44,TCI Comfort & IAQI Good
2024-09-26 01:15:00,26.14,471,157.3,66.46,TCI Comfort & IAQI Good
2024-09-26 01:20:00,26.14,455,157.5,66.54,TCI Comfort & IAQI Good
2024-09-26 01:25:00,26.13,465,161.6,66.67,TCI Comfort & IAQI Good
2024-09-26 01:30:00,26.12,473,157.2,66.6,TCI Comfort & IAQI Good
2024-09-26 01:35:00,26.12,464,162.4,66.72,TCI Comfort & IAQI Good
2024-09-26 01:40:00,26.12,465,161.5,66.76,TCI Comfort & IAQI Good
2024-09-26 01:45:00,26.12,455,160.4,66.8,TCI Comfort & IAQI Good
2024-09-26 01:50:00,26.11,459,160.4,66.96,TCI Comfort & IAQI Good
2024-09-26 01:55:00,26.1,462,163.2,67.03,TCI Comfort & IAQI Good
2024-09-26 02:00:00,26.1,452,162.5,67.05,TCI Comfort & IAQI Good
